UniversityName,DegreeType,DualCombined,ValidatedDegreeName,Degree,Program,Concentration,Searchtag1,Searchtag2,Searchtag3,SOPHAS,Term,LinkToDepartment,LinkDescription,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,27,LLM/MPH,Global Health,,25,31,40,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,27,LLM/MPH,Health Policy,,19,30,27,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,27,LLM/MPH,Community Oriented Primary Care,,6,18,40,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,27,LLM/MPH,Health Promotion,,18,7,20,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,27,LLM/MPH,Maternal and Child Health,,28,18,37,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,27,LLM/MPH,Public Health Communication and Marketing,,20,18,7,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,28,MA/MPH ,Global Health,,25,31,40,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,28,MA/MPH,Global Health,,25,31,40,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,28,MA/MPH,Global Health,,25,31,40,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Environmental and Occupational Health,,10,34,44,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Biostatistics,,3,11,,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Epidemiology,,11,3,38,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Epidemiology and Biostatistics,,11,,,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Global Health,,25,31,40,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Health Policy,,19,30,27,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Community Oriented Primary Care,,6,18,40,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Health Promotion,,18,7,20,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Maternal and Child Health,,28,18,37,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Public Health Communication and Marketing,,20,18,7,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Environmental and Occupational Health,,10,34,44,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Biostatistics,,3,11,,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Epidemiology,,11,3,38,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Epidemiology and Biostatistics,,11,3,,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Global Health,,25,31,40,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Health Policy,,19,30,27,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Community Oriented Primary Care,,6,18,40,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Health Promotion,,18,7,20,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Maternal and Child Health,,28,18,37,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Public Health Communication and Marketing,,20,18,7,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Environmental and Occupational Health,,10,34,44,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Biostatistics,,3,11,,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Epidemiology,,11,3,38,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Epidemiology and Biostatistics,,11,3,,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Global Health,,25,31,40,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Health Policy,,19,30,27,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Community Oriented Primary Care,,6,18,40,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Health Promotion,,18,7,20,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Maternal and Child Health,,28,18,37,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,32,MD/MPH,Public Health Communication and Marketing,,20,18,7,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Environmental and Occupational Health,,10,34,44,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Biostatistics,,3,11,,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Epidemiology ,,11,3,38,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Epidemiology and Biostatistics,,11,3,,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Global Health,,25,31,40,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Health Policy,,19,30,27,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Community Oriented Primary Care,,6,18,40,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Health Promotion,,18,7,20,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Maternal and Child Health,,28,18,37,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Public Health Communication and Marketing,,20,18,7,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Environmental and Occupational Health,,10,34,44,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Biostatistics,,3,11,,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Epidemiology ,,11,3,38,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Epidemiology and Biostatistics,Masters International Program with the  Peace Corps/ MPH Health Information Syst,11,25,,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Global Health,,25,31,40,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Health Policy,,19,30,27,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Community Oriented Primary Care,,6,18,40,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Health Promotion,,18,7,20,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Maternal and Child Health,,28,18,37,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Public Health Communication and Marketing,,20,18,7,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Environmental and Occupational Health,,10,34,44,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Biostatistics,,3,11,,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Epidemiology ,,11,3,38,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Epidemiology and Biostatistics,Masters International Program with the  Peace Corps/ MPH Health Information Syst,11,25,,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Global Health,,25,31,40,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Health Policy,,19,30,27,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Community Oriented Primary Care,,6,18,40,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Health Promotion,,18,7,20,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Maternal and Child Health,,28,18,37,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,37,MI/MPH,Public Health Communication and Marketing,,20,18,7,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,yes,47,PA/MPH,Prevention and Community Health ,Physician Assistant (School of Medicine and Health Sciences)/MPH,40,7,,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,,54,MS,Public Health Microbiology and Emerging Infectious Diseases,,2,22,23,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,,54,MS,Exercise Science,Clinical Exercise Physiology,6,12,40,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,,54,MS,Exercise Science,"Exercise, Nutrition, and Eating Behavior",12,18,33,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,,54,MS,Exercise Science,Strength and Conditioning,12,18,33,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,,54,MS,Health Policy,,19,30,27,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,,54,MS,Public Health Microbiology and Emerging Infectious Diseases,,2,22,23,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,,54,MS,Exercise Science,Clinical Exercise Physiology,6,12,40,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,,54,MS,Exercise Science,"Exercise, Nutrition, and Eating Behavior",12,18,33,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,,54,MS,Exercise Science,Strength and Conditioning,12,18,33,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,,54,MS,Health Policy,,19,30,27,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,,54,MS,Public Health Microbiology and Emerging Infectious Diseases,,2,22,23,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,,54,MS,Exercise Science,Clinical Exercise Physiology,12,,,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,,54,MS,Exercise Science,"Exercise, Nutrition, and Eating Behavior",12,,,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,,54,MS,Exercise Science,Strength and Conditioning,12,,,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,Masters,,54,MS,Health Policy,,19,30,27,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,,,72,Specialist Degree,Health Services Specialist,,16,17,21,Yes,5,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,,,72,Specialist Degree,Health Services Specialist,,16,17,21,Yes,3,http://www.gwumc.edu/sphhs/departments/,,,,,,,
George Washington University School of Public Health and Health Services,,,72,Specialist Degree,Health Services Specialist,,16,,,Yes,4,http://www.gwumc.edu/sphhs/departments/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Environmental Health,Occupational Health - Occupational Safety and Health,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Environmental Health,Occupational Health - Population Genetics,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Environmental Health,Occupational Health - Occupational Epidemiology,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Environmental Health,Occupational Health - Occupational Health Nursing,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Environmental Health,Occupational Health - Occupational Health Services Research and Policy,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Environmental Health,Occupational Health - Environmental Molecular Epidemiology,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Environmental Health,Occupational Health - Ergonomics and Safety,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Environmental Health,Occupational Health - Injury Epidemiology,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Epidemiology,Psychiatric Epidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Epidemiology,Reproductive Epidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Epidemiology,Nutritional Epidemiology,11,,33,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Epidemiology,Oral and Dental Health Epidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Epidemiology,Pharmacoepidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Epidemiology,Infectious Disease Epidemiology,11,,23,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Epidemiology,Molecular/Genetic Epidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Epidemiology,Neuroepidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Epidemiology,Environmental/Occupational Epidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Epidemiology,Epidemiologic Methods,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Epidemiology,Epidemiology of Aging,11,,1,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Epidemiology,Cancer Epidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Epidemiology,Cardiovascular Epidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Epidemiology,Clinical Epidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Nutrition,Nutritional Epidemiology - Epidemiology,33,,20,yes,5,http://www.hsph.harvard.edu/departments/nutrition/prospective-students/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Nutrition,Nutritional Epidemiology - International Nutrition,33,,20,yes,5,http://www.hsph.harvard.edu/departments/nutrition/prospective-students/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Nutrition,Public Health Nutrition - Epidemiology,33,,27,yes,5,http://www.hsph.harvard.edu/departments/nutrition/prospective-students/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Nutrition,Public Health Nutrition - International Nutrition,33,,27,yes,5,http://www.hsph.harvard.edu/departments/nutrition/prospective-students/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Global Health and Population,Economics,25,,20,yes,5,http://www.hsph.harvard.edu/departments/global-health-and-population/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Global Health and Population,Health Systems,25,,,yes,5,http://www.hsph.harvard.edu/departments/global-health-and-population/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),Global Health and Population,Population and Reproductive Health,25,,,yes,5,http://www.hsph.harvard.edu/departments/global-health-and-population/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),"Society, Human Development, and Health",Health and Social Policy,27,,,yes,5,http://www.hsph.harvard.edu/departments/society-human-development-and-health/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),"Society, Human Development, and Health",Human Development,28,,38,yes,5,http://www.hsph.harvard.edu/departments/society-human-development-and-health/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),"Society, Human Development, and Health",Planned Social Change,40,,,yes,5,http://www.hsph.harvard.edu/departments/society-human-development-and-health/,,,,,,,
Harvard School of Public Health,Doctoral,,6,Doctor of Public Health (DPH),"Society, Human Development, and Health",Social Determinants of Health,30,,29,yes,5,http://www.hsph.harvard.edu/departments/society-human-development-and-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,"Exposure, Epidemiology, and Risk - Occupational Hygiene",10,,11,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,"Exposure, Epidemiology, and Risk - Risk Assessment",10,,11,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,"Exposure, Epidemiology, and Risk - Environmental Epidemiology",10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,"Exposure, Epidemiology, and Risk - Ergonomics and Safety",10,,34,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,"Exposure, Epidemiology, and Risk - Exposure Assessment",10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,Molecular and Integrative Physiological Sciences - Infectious Diseases,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,Molecular and Integrative Physiological Sciences - Pathogenesis of Lung Disease,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,Molecular and Integrative Physiological Sciences - Respiratory Physiology,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,Molecular and Integrative Physiological Sciences - Bioengineering,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,Molecular and Integrative Physiological Sciences - Cell and Molecular Biology of the Lungs,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,Occupational Health - Occupational Safety and Health,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,Occupational Health - Population Genetics,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,Occupational Health - Occupational Epidemiology,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,Occupational Health - Occupational Health Services Research and Policy,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,Occupational Health - Occupational Health Nursing,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,Occupational Health - Environmental Molecular Epidemiology,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,Occupational Health - Ergonomics and Safety,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Environmental Health,Occupational Health - Injury Epidemiology,10,,,yes,5,http://www.hsph.harvard.edu/departments/environmental-health/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Epidemiology,Psychiatric Epidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Epidemiology,Reproductive Epidemiology,11,37,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Epidemiology,Nutritional Epidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Epidemiology,Oral and Dental Health Epidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Epidemiology,Pharmacoepidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Epidemiology,Infectious Disease Epidemiology,11,23,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Epidemiology,Molecular/Genetic Epidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Epidemiology,Neuroepidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Epidemiology,Environmental/Occupational Epidemiology,11,10,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Epidemiology,Epidemiologic Methods,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Epidemiology,Epidemiology of Aging,11,1,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Epidemiology,Cancer Epidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Epidemiology,Cardiovascular Epidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Epidemiology,Clinical Epidemiology,11,,,yes,5,http://www.hsph.harvard.edu/departments/epidemiology/,,,,,,,
Harvard School of Public Health,Doctoral,,71,Doctor of Science (SD),Health Policy and Management,,27,,,yes,5,http://www.hsph.harvard.edu/departments/health-policy-and-management/,,,,,,,
