ProgramName	Tag1	Tag2	Tag3	SophasYesNo	DescriptionLink	Description	SchoolName	TermID	DegreeType	DegreeID	ValidatedDegreeName	DepartmentLink	DualCombined	Concentration	AppInformation	AppRequirement		
Disaster Management/Environmental Health	10	39	0	yes		"""At the completion of the MPH in Disaster Management, the student will be able to:
? Apply public health science, policy, and practice principles to address the health threats resulting from natural and intentional  disasters
? Integrate environmental public health strategies in the development, execution, and evaluation of each core component of disaster management: preparedness, detection, response, containment, and recovery
? Implement population-based interventions to protect communities, particularly vulnerable populations, from natural and intentional disasters 
? Evaluate the capacity of public health systems to effectively and efficaciously respond to natural and intentional disasters
"""	Tulane University School of Public Health and Tropical Medicine	Spring 2009	Masters	20	MPH	http://www.sph.tulane.edu/EHS/		Distance Learning 	http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Disaster Management/Environmental Health	10	39	0	yes		"At the completion of the MPH in Disaster Management, the student will be able to:
? Apply public health science, policy, and practice principles to address the health threats resulting from natural and intentional  disasters
? Integrate environmental public health strategies in the development, execution, and evaluation of each core component of disaster management: preparedness, detection, response, containment, and recovery
? Implement population-based interventions to protect communities, particularly vulnerable populations, from natural and intentional disasters 
? Evaluate the capacity of public health systems to effectively and efficaciously respond to natural and intentional disasters
"	Tulane University School of Public Health and Tropical Medicine	Summer 2009	Masters	20	MPH	http://www.sph.tulane.edu/EHS/		Distance Learning 	http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Epidemiology	11	23	15	yes		"The MPH program provides rigorous education in basic epidemiologic and biostatistical methods in several content areas including cardiovascular disease, infectious disease, genetic epidemiology, molecular and cancer epidemiology, reproductive epidemiology and environmental disease.  Students gain a thorough knowledge of the sources of health data and their use in epidemiologic studies and are able to design and implement studies for collection of data from original sources, such as field surveys. Students will also acquire skills in the processing, analysis and reporting of data. The program prepares graduates for positions in public and private agencies in which epidemiologic information is needed for health policy decisions, as well as for the management of research projects in academic and other institutions."	Tulane University School of Public Health and Tropical Medicine	Fall 2009	Masters	20	MPH	http://www.sph.tulane.edu/epidemiology/index.html		Master's International Program with the US Peace Corps	http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Epidemiology	11	23	15	yes		"The MPH program provides rigorous education in basic epidemiologic and biostatistical methods in several content areas including cardiovascular disease, infectious disease, genetic epidemiology, molecular and cancer epidemiology, reproductive epidemiology and environmental disease.  Students gain a thorough knowledge of the sources of health data and their use in epidemiologic studies and are able to design and implement studies for collection of data from original sources, such as field surveys. Students will also acquire skills in the processing, analysis and reporting of data. The program prepares graduates for positions in public and private agencies in which epidemiologic information is needed for health policy decisions, as well as for the management of research projects in academic and other institutions."	Tulane University School of Public Health and Tropical Medicine	Fall 2009	Masters	20	MPH	http://www.sph.tulane.edu/epidemiology/index.html			http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Epidemiology	11	23	15	yes		"The MPH program provides rigorous education in basic epidemiologic and biostatistical methods in several content areas including cardiovascular disease, infectious disease, genetic epidemiology, molecular and cancer epidemiology, reproductive epidemiology and environmental disease.  Students gain a thorough knowledge of the sources of health data and their use in epidemiologic studies and are able to design and implement studies for collection of data from original sources, such as field surveys. Students will also acquire skills in the processing, analysis and reporting of data. The program prepares graduates for positions in public and private agencies in which epidemiologic information is needed for health policy decisions, as well as for the management of research projects in academic and other institutions."	Tulane University School of Public Health and Tropical Medicine	Spring 2009	Masters	20	MPH	http://www.sph.tulane.edu/epidemiology/index.html		Master's International Program with the US Peace Corps	http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Epidemiology	11	23	15	yes		"The MPH program provides rigorous education in basic epidemiologic and biostatistical methods in several content areas including cardiovascular disease, infectious disease, genetic epidemiology, molecular and cancer epidemiology, reproductive epidemiology and environmental disease.  Students gain a thorough knowledge of the sources of health data and their use in epidemiologic studies and are able to design and implement studies for collection of data from original sources, such as field surveys. Students will also acquire skills in the processing, analysis and reporting of data. The program prepares graduates for positions in public and private agencies in which epidemiologic information is needed for health policy decisions, as well as for the management of research projects in academic and other institutions."	Tulane University School of Public Health and Tropical Medicine	Spring 2009	Masters	20	MPH	http://www.sph.tulane.edu/epidemiology/index.html			http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Epidemiology	11	23	15	yes		"The MPH program provides rigorous education in basic epidemiologic and biostatistical methods in several content areas including cardiovascular disease, infectious disease, genetic epidemiology, molecular and cancer epidemiology, reproductive epidemiology and environmental disease.  Students gain a thorough knowledge of the sources of health data and their use in epidemiologic studies and are able to design and implement studies for collection of data from original sources, such as field surveys. Students will also acquire skills in the processing, analysis and reporting of data. The program prepares graduates for positions in public and private agencies in which epidemiologic information is needed for health policy decisions, as well as for the management of research projects in academic and other institutions."	Tulane University School of Public Health and Tropical Medicine	Summer 2009	Masters	20	MPH	http://www.sph.tulane.edu/epidemiology/index.html		Master's International Program with the US Peace Corps	http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Epidemiology	11	23	15	yes		"The MPH program provides rigorous education in basic epidemiologic and biostatistical methods in several content areas including cardiovascular disease, infectious disease, genetic epidemiology, molecular and cancer epidemiology, reproductive epidemiology and environmental disease.  Students gain a thorough knowledge of the sources of health data and their use in epidemiologic studies and are able to design and implement studies for collection of data from original sources, such as field surveys. Students will also acquire skills in the processing, analysis and reporting of data. The program prepares graduates for positions in public and private agencies in which epidemiologic information is needed for health policy decisions, as well as for the management of research projects in academic and other institutions."	Tulane University School of Public Health and Tropical Medicine	Summer 2009	Masters	20	MPH	http://www.sph.tulane.edu/epidemiology/index.html			http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Global Health Systems Management	17	16	25	yes		The MPH in Global Health Systems Management prepares students to assume management and leadership roles in the global health arena.  The courses are designed to convey practical skills and knowledge relevant for successful global health managers and decision-makers.  The program will also allow students the opportunity to take courses offered in partner universities around the world.	Tulane University School of Public Health and Tropical Medicine	Fall 2009	Masters	20	MPH	http://www.sph.tulane.edu/hsm/index.htm			http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Global Health Systems Management	17	16	25	yes		The MPH in Global Health Systems Management prepares students to assume management and leadership roles in the global health arena.  The courses are designed to convey practical skills and knowledge relevant for successful global health managers and decision-makers.  The program will also allow students the opportunity to take courses offered in partner universities around the world.	Tulane University School of Public Health and Tropical Medicine	Spring 2009	Masters	20	MPH	http://www.sph.tulane.edu/hsm/index.htm			http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Global Health Systems Management	17	16	25	yes		The MPH in Global Health Systems Management prepares students to assume management and leadership roles in the global health arena.  The courses are designed to convey practical skills and knowledge relevant for successful global health managers and decision-makers.  The program will also allow students the opportunity to take courses offered in partner universities around the world.	Tulane University School of Public Health and Tropical Medicine	Summer 2009	Masters	20	MPH	http://www.sph.tulane.edu/hsm/index.htm			http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Health Systems Management	17	16	27	yes		The MPH focuses on the application of management concepts and competencies in public health to improve the health of the community. The  curriculum is designed for students and public health professionals interested in domestic or international public health courses with an emphasis on skills and methods used in management and leadership roles especially at the operating level.	Tulane University School of Public Health and Tropical Medicine	Fall 2009	Masters	20	MPH	http://www.sph.tulane.edu/hsm/index.htm		Master's International Program with the US Peace Corps	http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Health Systems Management	17	16	27	yes		The MPH focuses on the application of management concepts and competencies in public health to improve the health of the community. The  curriculum is designed for students and public health professionals interested in domestic or international public health courses with an emphasis on skills and methods used in management and leadership roles especially at the operating level.	Tulane University School of Public Health and Tropical Medicine	Fall 2009	Masters	20	MPH	http://www.sph.tulane.edu/hsm/index.htm			http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Health Systems Management	17	16	27	yes		The MPH focuses on the application of management concepts and competencies in public health to improve the health of the community. The  curriculum is designed for students and public health professionals interested in domestic or international public health courses with an emphasis on skills and methods used in management and leadership roles especially at the operating level.	Tulane University School of Public Health and Tropical Medicine	Spring 2009	Masters	20	MPH	http://www.sph.tulane.edu/hsm/index.htm		Master's International Program with the US Peace Corps	http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Health Systems Management	17	16	27	yes		The MPH focuses on the application of management concepts and competencies in public health to improve the health of the community. The  curriculum is designed for students and public health professionals interested in domestic or international public health courses with an emphasis on skills and methods used in management and leadership roles especially at the operating level.	Tulane University School of Public Health and Tropical Medicine	Spring 2009	Masters	20	MPH	http://www.sph.tulane.edu/hsm/index.htm			http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Health Systems Management	17	16	27	yes		The MPH focuses on the application of management concepts and competencies in public health to improve the health of the community. The  curriculum is designed for students and public health professionals interested in domestic or international public health courses with an emphasis on skills and methods used in management and leadership roles especially at the operating level.	Tulane University School of Public Health and Tropical Medicine	Summer 2009	Masters	20	MPH	http://www.sph.tulane.edu/hsm/index.htm		Master's International Program with the US Peace Corps	http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Health Systems Management	17	16	27	yes		The MPH focuses on the application of management concepts and competencies in public health to improve the health of the community. The  curriculum is designed for students and public health professionals interested in domestic or international public health courses with an emphasis on skills and methods used in management and leadership roles especially at the operating level.	Tulane University School of Public Health and Tropical Medicine	Summer 2009	Masters	20	MPH	http://www.sph.tulane.edu/hsm/index.htm			http://www.sophas.org/schools/Tulane.cfm	http://www.sophas.org/documents/Tulane.pdf		
Biostatistics	3	0	0	Yes	http:// www.ph.ucla.edu		UCLA School of Public Health	Fall 2009	Masters	20	MPH				http://www.sophas.org/schools/UCLA.cfm	http://www.sophas.org/documents/UCLA.pdf		
Community Health Sciences	7	0	0	Yes	http:// www.ph.ucla.edu		UCLA School of Public Health	Fall 2009	Masters	20	MPH				http://www.sophas.org/schools/UCLA.cfm	http://www.sophas.org/documents/UCLA.pdf		
Environmental Health Sciences	10	0	0	Yes	http:// www.ph.ucla.edu		UCLA School of Public Health	Fall 2009	Masters	20	MPH				http://www.sophas.org/schools/UCLA.cfm	http://www.sophas.org/documents/UCLA.pdf		
Epidemiology	11	0	0	Yes	http:// www.ph.ucla.edu		UCLA School of Public Health	Fall 2009	Masters	20	MPH				http://www.sophas.org/schools/UCLA.cfm	http://www.sophas.org/documents/UCLA.pdf		
Health Services	16	0	0	Yes	http:// www.ph.ucla.edu		UCLA School of Public Health	Fall 2009	Masters	20	MPH for Health Professionals				http://www.sophas.org/schools/UCLA.cfm	http://www.sophas.org/documents/UCLA.pdf		
Community Health Sciences	18	0	0	Yes	http:// www.ph.ucla.edu		UCLA School of Public Health	Fall 2009	Masters	20	MPH for Health Professionals				http://www.sophas.org/schools/UCLA.cfm	http://www.sophas.org/documents/UCLA.pdf		
Health Services	21	0	0	Yes	http:// www.ph.ucla.edu		UCLA School of Public Health	Fall 2009	Masters	20	MPH				http://www.sophas.org/schools/UCLA.cfm	http://www.sophas.org/documents/UCLA.pdf		
Biostatistics	3	0	0	Yes		"The MPH degree in biostatistics is intended primarily for those persons who wish to acquire an MPH degree with an emphasis in statistical methodology. This can include individuals from decision-making positions in health care settings as well as those interested in data management, statistical analyses and interpretation, and presentation of analytical results. Note that the MPH does not require some of the theoretical courses required for the MS, and as such, it is not a direct route to prepare a student for a PhD. Students anticipating that they will wish to continue for a PhD are advised to pursue the MS rather than the MPH."	University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=226&cid=48&sid=138		Biostatistics	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Environmental Health Sciences	34	0	0	Yes		"This track is designed specifically for and limited to graduates of undergraduate Industrial Hygiene programs financially supported by the National Institute for Occupational Safety and Health (NIOSH).ÿ Graduates of these programs have received basic courses from NIOSH, peer-reviewed and approved Industrial Hygiene curricula, and are qualified to practice Industrial Hygiene. The Accelerated Program in Industrial Hygiene will broaden the student's public health knowledge and skills while also preparing students to take leadership roles in Industrial Hygiene."	University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=232&cid=49&sid=139		Accelerated Industrial Hygiene	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Environmental Health Sciences	34	0	0	Yes		"The MPH in industrial hygiene combines didactic research instruction and applied research experience for students with or without previous work experience.ÿÿ The industrial hygiene program is designed to develop the students' understanding of the interrelationships between the basic sciences and the causes and prevention of occupational related diseases.ÿ Graduates of the program will be capable of developing systematic approaches to identifying and controlling problems in industrial hygiene, designing and implementing research programs to measure the level of work exposure to hazardous agents, and instituting necessary control measures."	University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=230&cid=49&sid=139		Industrial Hygiene	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Environmental Health Sciences	34	0	0	Yes		"The MPH in industrial hygiene combines didactic research instruction and applied research experience for students with or without previous work experience.ÿÿ The industrial hygiene program is designed to develop the students' understanding of the interrelationships between the basic sciences and the causes and prevention of occupational related diseases.ÿ Graduates of the program will be capable of developing systematic approaches to identifying and controlling problems in industrial hygiene, designing and implementing research programs to measure the level of work exposure to hazardous agents, and instituting necessary control measures."	University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=230&cid=49&sid=139		Industrial Hygiene/Hazardous Substance	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Environmental Health Sciences	34	0	0	Yes		"This track is designed specifically for and limited to graduates of undergraduate Industrial Hygiene programs financially supported by the National Institute for Occupational Safety and Health (NIOSH).ÿ Graduates of these programs have received basic courses from NIOSH, peer-reviewed and approved Industrial Hygiene curricula, and are qualified to practice Industrial Hygiene. The Accelerated Program in Industrial Hygiene will broaden the student's public health knowledge and skills while also preparing students to take leadership roles in Industrial Hygiene."	University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=229&cid=49&sid=139		Occupational Health & Safety	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Environmental Health Sciences	34	0	0	Yes		"This track is designed specifically for and limited to graduates of undergraduate Industrial Hygiene programs financially supported by the National Institute for Occupational Safety and Health (NIOSH).ÿ Graduates of these programs have received basic courses from NIOSH, peer-reviewed and approved Industrial Hygiene curricula, and are qualified to practice Industrial Hygiene. The Accelerated Program in Industrial Hygiene will broaden the student's public health knowledge and skills while also preparing students to take leadership roles in Industrial Hygiene."	University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=232&cid=49&sid=139		Accelerated Industrial Hygiene	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Environmental Health Sciences	34	0	0	Yes		"The MPH in industrial hygiene combines didactic research instruction and applied research experience for students with or without previous work experience.ÿÿ The industrial hygiene program is designed to develop the students' understanding of the interrelationships between the basic sciences and the causes and prevention of occupational related diseases.ÿ Graduates of the program will be capable of developing systematic approaches to identifying and controlling problems in industrial hygiene, designing and implementing research programs to measure the level of work exposure to hazardous agents, and instituting necessary control measures."	University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=230&cid=49&sid=139		Industrial Hygiene	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Environmental Health Sciences	34	0	0	Yes		"The MPH in industrial hygiene combines didactic research instruction and applied research experience for students with or without previous work experience.ÿÿ The industrial hygiene program is designed to develop the students' understanding of the interrelationships between the basic sciences and the causes and prevention of occupational related diseases.ÿ Graduates of the program will be capable of developing systematic approaches to identifying and controlling problems in industrial hygiene, designing and implementing research programs to measure the level of work exposure to hazardous agents, and instituting necessary control measures."	University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=230&cid=49&sid=139		Industrial Hygiene/Hazardous Substance	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Environmental Health Sciences	34	0	0	Yes		"This track is designed specifically for and limited to graduates of undergraduate Industrial Hygiene programs financially supported by the National Institute for Occupational Safety and Health (NIOSH).ÿ Graduates of these programs have received basic courses from NIOSH, peer-reviewed and approved Industrial Hygiene curricula, and are qualified to practice Industrial Hygiene. The Accelerated Program in Industrial Hygiene will broaden the student's public health knowledge and skills while also preparing students to take leadership roles in Industrial Hygiene."	University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=229&cid=49&sid=139		Occupational Health & Safety	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Health Care Organization & Policy	39	0	0	Yes		"This specialized degree covers all hazards preparedness topics including, event typologies, response organization, leadership and management, hazard and risk assessment policy development and evaluation and risk communication."	University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=866&cid=52&sid=142		Public Health Preparedness Management	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Health Care Organization & Policy	39	0	0	Yes		"This specialized degree covers all hazards preparedness topics including, event typologies, response organization, leadership and management, hazard and risk assessment policy development and evaluation and risk communication."	University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=866&cid=52&sid=142		Public Health Preparedness Management	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Epidemiology	25	6	0	No			University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH			International Health/Nursing  	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Environmental Health Sciences	25	10	0	Yes		"The UAB School of Public Health in International Health and Global Studies draws upon resources throughout the school for master's level training.ÿ Core course requirements will ground students in a fundamental understanding of issues, knowledge and skills critical for international work in public health.ÿ More intensive training and methodology in Environmental Health Sciences is accomplished through departmental specialty track requirements."	University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=234&cid=49&sid=139		International Health & Global Studies	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Environmental Health Sciences	25	10	0	Yes		"The UAB School of Public Health in International Health and Global Studies draws upon resources throughout the school for master's level training.ÿ Core course requirements will ground students in a fundamental understanding of issues, knowledge and skills critical for international work in public health.ÿ More intensive training and methodology in Environmental Health Sciences is accomplished through departmental specialty track requirements."	University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=234&cid=49&sid=139		International Health & Global Studies	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Health Behavior 	25	18	0	Yes			University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=249&cid=51&sid=141		International Health & Global Studies	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Health Behavior 	25	18	0	Yes			University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=249&cid=51&sid=141		International Health & Global Studies	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Epidemiology	11	23	0	Yes		"The MPH-EPI program is intended for persons who anticipate careers in public health practice or research. In addition, students who wish to enter doctoral-level training should consider majoring in epidemiology at the master's level."	University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=239&cid=50&sid=140		Epidemiology	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Health Care Organization & Policy	19	27	0	Yes			University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=254&cid=52&sid=142		Health Policy	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Health Care Organization & Policy	19	27	0	Yes			University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=254&cid=52&sid=142		Health Policy	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Environmental Health Sciences	10	44	0	Yes		It is important for prospective students to understand that the MPH in Environmental Health/Toxicology and the MPH in Occupational Health and Safety are considered professional degree programs.ÿ Persons applying to these degree tracks should have at least two years of previous professional experience in the area that they wish to study.ÿ These degree tracks are considered to be a continuation of one's professional experience and are intended to augment the information that one has already learned through that experience.	University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=229&cid=49&sid=139		Environmental Health/Toxicology	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Environmental Health Sciences	10	44	0	Yes		It is important for prospective students to understand that the MPH in Environmental Health/Toxicology and the MPH in Occupational Health and Safety are considered professional degree programs.ÿ Persons applying to these degree tracks should have at least two years of previous professional experience in the area that they wish to study.ÿ These degree tracks are considered to be a continuation of one's professional experience and are intended to augment the information that one has already learned through that experience.	University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=229&cid=49&sid=139		Environmental Health/Toxicology	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Health Behavior 	7	18	20	Yes			University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=245&cid=51&sid=141		Health Behavior	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Health Behavior 	7	18	20	Yes			University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=245&cid=51&sid=141		Health Behavior	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Epidemiology	25	11	23	Yes			University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=240&cid=50&sid=140		International Health & Global Studies	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Health Care Organization & Policy	17	19	27	Yes			University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=253&cid=52&sid=142		General Theory & Practice	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Health Care Organization & Policy	17	19	27	Yes			University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=252&cid=52&sid=142		Health Care Organization	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Health Care Organization & Policy	17	19	27	Yes			University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=253&cid=52&sid=142		General Theory & Practice	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Health Care Organization & Policy	17	19	27	Yes			University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=252&cid=52&sid=142		Health Care Organization	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Maternal & Child Health	25	28	46	Yes			University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=262&cid=53&sid=143		International Health & Global Studies	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Maternal & Child Health	25	28	46	Yes			University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=262&cid=53&sid=143		International Health & Global Studies	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Maternal & Child Health	28	37	46	Yes			University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=263&cid=53&sid=143		Advanced Leadership & Practice	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Maternal & Child Health	28	37	46	Yes			University of Alabama-Birmingham School of Public Health	Fall 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=262&cid=53&sid=143		Enhanced MCH Skills	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Maternal & Child Health	28	37	46	Yes			University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=263&cid=53&sid=143		Advanced Leadership & Practice	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Maternal & Child Health	28	37	46	Yes			University of Alabama-Birmingham School of Public Health	Spring 2009	Masters	20	MPH	http://www.soph.uab.edu/soph_catalog/catalog_alt.asp?action=show&id=262&cid=53&sid=143		Enhanced MCH Skills	http://www.sophas.org/schools/UAB.cfm	http://www.sophas.org/documents/Alabama.pdf		
Epidemiology	11	4	3	Yes			University of Arizona Mel and Enid Zuckerman School of Public Health	Fall 2009	Masters	20	MPH	http://www.publichealth.arizona.edu/AcademicPrograms/MPH_Epi.aspx			http://www.sophas.org/schools/ArizonaMelandEnidZuckerman.cfm	http://www.sophas.org/documents/Arizona.pdf		
Biostatistics	3	11	4	Yes			University of Arizona Mel and Enid Zuckerman School of Public Health	Fall 2009	Masters	20	MPH	http://www.publichealth.arizona.edu/AcademicPrograms/Mph_Bio.aspx			http://www.sophas.org/schools/ArizonaMelandEnidZuckerman.cfm	http://www.sophas.org/documents/Arizona.pdf		
Family and Child Health	28	6	18	Yes			University of Arizona Mel and Enid Zuckerman School of Public Health	Fall 2009	Masters	20	MPH	http://www.publichealth.arizona.edu/AcademicPrograms/Mph_Family.aspx		Maternal & Child Health	http://www.sophas.org/schools/ArizonaMelandEnidZuckerman.cfm	http://www.sophas.org/documents/Arizona.pdf		
